,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
5655,"ESCUELA RURAL ""PULLINQUE ALTO""",6.220000000000001,2002
8552,SANTA MARIA DE PIRQUE,6.217708333333333,2002
5163,"ESCUELA RURAL ""CHUMELDEN""",6.2176470588235295,2002
5480,"ESCUELA RURAL ""LOMA DE LA PIEDRA""",6.2176470588235295,2002
5532,"ESCUELA RURAL ""MALUCO""",6.216666666666666,2002
6605,LA MILAGROSA,6.214482758620689,2002
5909,ESCUELA SANTA ROSA DE LA AGUADA,6.214285714285714,2002
2840,ESC. PERQUILAUQUÃN SANTA MARÃA,6.214285714285714,2002
8697,THE KENT SCHOOL,6.214199395770393,2002
1011,COLEGIO CONSTITUCIÃN,6.21326164874552,2002
7685,MAYA SCHOOL,6.213043478260869,2002
4320,ESCUELA LAS AGUILAS,6.2125,2002
37,ADVENTISTA HUALPENCILLO,6.212242090784044,2002
1561,COLEGIO SAINT DOMINIC,6.211995515695068,2002
1205,COLEGIO INGLES SAINT JOHN,6.211324041811847,2002
2930,ESC. SAN VICENTE,6.21,2002
839,COLEGIO ABEL INOSTROZA GUTIERREZ,6.20952380952381,2002
1603,COLEGIO SAN IGNACIO DE LOYOLA,6.209352517985612,2002
5223,"ESCUELA RURAL ""CUMBRE DEL BARRO PEÃOL""",6.208333333333333,2002
5870,ESCUELA SAN FRANCISCO,6.2075000000000005,2002
4650,ESCUELA PARTICULAR DE NIÃAS,6.206865671641792,2002
3555,ESCUELA BASICA G-449,6.205,2002
5845,ESCUELA RURAL G-709 EL TRANSITO,6.204545454545454,2002
4124,ESCUELA EUGENIA SUBERCASEAUX,6.203989361702127,2002
950,COLEGIO BRITANICO THE BRITISH,6.201954887218045,2002
133,ANDANTINO,6.20175,2002
3435,ESCUELA BASICA COIRON,6.201666666666667,2002
1322,COLEGIO MAITENES,6.200584795321637,2002
2964,ESC. TABOLGUÃN,6.2,2002
1497,COLEGIO POETA DANIEL DE LA VEGA ANEXO,6.2,2002
4315,ESCUELA LA VARIOLA,6.2,2002
2135,ESC HEROES DE LA CONCEPCION,6.2,2002
1891,DANICALQUI,6.2,2002
257,BARRIO ESTADIO MUNICIPAL,6.2,2002
1852,CRAIGHOUSE,6.199697885196374,2002
781,COLEGIO  ALTA  CORDILLERA,6.198654244306418,2002
4553,ESCUELA PART  ARBOLEDA,6.197979797979798,2002
7802,NUESTRA SENORA DEL CAMINO,6.197413793103448,2002
8485,SANTA ANA DE LA LUZ,6.197044334975369,2002
8674,TEHUALDA DE RANQUILCO,6.196153846153846,2002
7607,MANUEL DE SALAS,6.193980477223428,2002
7673,MASTER SCHOOL DE LAMPA,6.1937984496124034,2002
381,CAMPANITA (ANEXO SAN AGUSTIN),6.193656716417911,2002
735,COL. INTERNACIONAL ANTOFAGASTA LTDA.,6.193103448275862,2002
3703,ESCUELA BASICA PADRE BLAS HERNANDEZ SAN,6.192857142857143,2002
7411,LLOICURA,6.192857142857143,2002
